"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2021vhkx","2021-10-30T21:42:28.450978Z","-3.462757826","134.1222839","3.494028455","M","30","14","170.8823357","Irian Jaya Region, Indonesia","BMKG"
"2","bmg2021vhix","2021-10-30T20:42:42.391527Z","2.475741148","95.7447052","3.381214178","M","30","27","219.8229523","Off West Coast of Northern Sumatra","BMKG"
"3","bmg2021vhiu","2021-10-30T20:39:16.66225Z","2.515888691","95.77243805","3.759385504","M","33","30","215.4056854","Off West Coast of Northern Sumatra","BMKG"
"4","bmg2021vhhl","2021-10-30T19:57:51.390368Z","-8.107003212","120.0742569","3.346711444","M","176","34","83.95547485","Flores Region, Indonesia","BMKG"
"5","bmg2021vhgo","2021-10-30T19:30:52.408364Z","-6.277660847","104.1179581","3.153492899","M","10","15","260.1369629","Sunda Strait, Indonesia","BMKG"
"6","bmg2021vhgn","2021-10-30T19:29:36.861626Z","-2.513712645","138.8386536","3.802360328","M","62","18","103.721756","Irian Jaya, Indonesia","BMKG"
"7","bmg2021vhgh","2021-10-30T19:22:47.305643Z","2.149146557","124.5053024","3.960069234","M","282","28","154.8686829","Celebes Sea","BMKG"
"8","bmg2021vher","2021-10-30T18:34:22.822778Z","-8.784246445","120.5364838","2.461344862","M","108","22","52.15266418","Flores Region, Indonesia","BMKG"
"9","bmg2021vhdr","2021-10-30T18:03:44.818584Z","-8.192171097","115.4832916","2.15272978","M","10","16","160.5353012","Bali Region, Indonesia","BMKG"
"10","bmg2021vhbw","2021-10-30T17:08:25.168296Z","-8.728775978","114.8274231","3.280228597","M","86","35","172.3425293","Bali Region, Indonesia","BMKG"
"11","bmg2021vhbn","2021-10-30T16:58:15.963955Z","-4.357622147","102.4396057","3.597294227","M","32","31","183.4664841","Southern Sumatra, Indonesia","BMKG"
"12","bmg2021vhat","2021-10-30T16:34:36.606564Z","-9.747721672","119.6412582","3.808846016","M","46","41","175.1744995","Sumba Region, Indonesia","BMKG"
"13","bmg2021vgzw","2021-10-30T16:08:00.812747Z","-6.235589504","130.8125305","3.148754817","M","10","14","148.7550659","Banda Sea","BMKG"
"14","bmg2021vgzm","2021-10-30T15:56:15.676433Z","-4.550902843","127.1504898","3.605805325","M","10","20","103.6143188","Banda Sea","BMKG"
"15","bmg2021vgye","2021-10-30T15:16:43.332859Z","3.114702702","126.316246","3.992750257","M","16","20","93.20977783","Talaud Islands, Indonesia","BMKG"
"16","bmg2021vgxl","2021-10-30T14:54:42.772115Z","-4.590922356","127.1756516","3.435776898","M","10","16","170.6294327","Banda Sea","BMKG"
"17","bmg2021vgtk","2021-10-30T12:52:02.879711Z","-4.53365612","127.1336365","3.601887507","M","10","10","225.500351","Banda Sea","BMKG"
"18","bmg2021vgte","2021-10-30T12:45:50.952761Z","-4.524913311","127.2076721","4.01796371","M","10","24","104.9003525","Banda Sea","BMKG"
"19","bmg2021vgsr","2021-10-30T12:29:40.71433Z","0.01439123414","96.70668793","4.288492066","M","34","26","226.9657135","Off West Coast of Northern Sumatra","BMKG"
